time,temp,prcp,wspd,rhum,pres,temp_rolling_avg_7,prcp_rolling_avg_7,wspd_rolling_avg_7,rhum_rolling_avg_7,pres_rolling_avg_7
2021-05-21 20:00:00,15.2,0.0,13.0,64.0,1009.9,19.128571428571426,0.004166666666666667,11.364285714285714,44.214285714285715,1009.0928571428572
2021-05-21 21:00:00,14.4,0.0,7.2,63.0,1010.0,19.129761904761903,0.004166666666666667,11.375,44.11904761904762,1009.0678571428571
2021-05-21 22:00:00,12.9,0.0,9.7,59.0,1011.3,19.126785714285717,0.004166666666666667,11.400595238095239,43.976190476190474,1009.05
2021-05-21 23:00:00,12.2,0.0,10.4,66.0,1011.6,19.12202380952381,0.004166666666666667,11.436904761904762,43.86904761904762,1009.035119047619
2021-05-22 00:00:00,11.7,0.0,7.9,71.0,1012.0,19.11845238095238,0.004166666666666667,11.466666666666665,43.779761904761905,1009.0214285714286
2021-05-22 01:00:00,11.1,0.2,5.4,78.0,1012.2,19.111904761904764,0.005357142857142857,11.479761904761906,43.75,1009.0095238095239
2021-05-22 02:00:00,10.7,0.4,5.8,84.0,1012.6,19.110714285714284,0.007738095238095238,11.484523809523811,43.720238095238095,1008.9994047619048
2021-05-22 03:00:00,10.5,0.3,9.0,86.0,1013.3,19.10833333333333,0.009523809523809525,11.508333333333335,43.70238095238095,1008.9934523809524
2021-05-22 04:00:00,11.3,0.1,9.7,79.0,1013.8,19.092261904761905,0.01011904761904762,11.551190476190477,43.73809523809524,1008.9898809523809
2021-05-22 05:00:00,12.2,0.4,10.1,72.0,1014.0,19.066071428571426,0.0125,11.596428571428572,43.79761904761905,1008.9857142857143
2021-05-22 06:00:00,11.7,0.2,11.2,79.0,1014.6,19.022023809523812,0.013690476190476192,11.645833333333334,43.964285714285715,1008.9869047619047
2021-05-22 07:00:00,12.3,0.3,11.2,72.0,1014.7,18.966666666666665,0.015476190476190477,11.69107142857143,44.160714285714285,1008.9928571428572
2021-05-22 08:00:00,13.7,0.2,9.7,65.0,1014.9,18.90833333333333,0.01666666666666667,11.720833333333335,44.375,1009.0035714285715
2021-05-22 09:00:00,15.7,0.1,7.9,55.0,1014.7,18.853571428571428,0.017261904761904763,11.735714285714286,44.55357142857143,1009.0178571428571
2021-05-22 10:00:00,17.0,0.1,11.9,48.0,1014.5,18.79702380952381,0.017857142857142856,11.767857142857142,44.708333333333336,1009.0380952380953
2021-05-22 11:00:00,15.2,0.6,19.8,55.0,1015.0,18.723214285714285,0.02142857142857143,11.832142857142857,44.916666666666664,1009.0684523809524
2021-05-22 12:00:00,13.9,0.5,15.1,64.0,1015.4,18.638095238095236,0.0244047619047619,11.857738095238094,45.18452380952381,1009.1077380952381
2021-05-22 13:00:00,16.3,0.0,17.3,51.0,1014.4,18.566071428571426,0.0244047619047619,11.889880952380953,45.38095238095238,1009.1476190476192
2021-05-22 14:00:00,15.9,0.0,22.7,50.0,1014.2,18.492857142857144,0.0244047619047619,11.964880952380952,45.57142857142857,1009.1910714285713
2021-05-22 15:00:00,15.9,0.0,21.2,49.0,1014.3,18.42202380952381,0.0244047619047619,12.054761904761905,45.76190476190476,1009.2392857142858
2021-05-22 16:00:00,14.7,0.0,18.7,53.0,1015.1,18.351190476190474,0.0244047619047619,12.138095238095238,45.92857142857143,1009.2952380952381
2021-05-22 17:00:00,13.4,0.0,13.3,58.0,1015.8,18.29345238095238,0.0244047619047619,12.167857142857143,46.11309523809524,1009.3553571428572
2021-05-22 18:00:00,12.3,0.0,12.6,64.0,1016.7,18.236309523809524,0.0244047619047619,12.186904761904762,46.333333333333336,1009.4160714285715
2021-05-22 19:00:00,11.3,0.0,10.4,69.0,1017.4,18.179761904761904,0.0244047619047619,12.195238095238096,46.589285714285715,1009.4827380952381
2021-05-22 20:00:00,10.3,0.0,8.6,74.0,1017.5,18.12261904761905,0.0244047619047619,12.19047619047619,46.88095238095238,1009.5535714285714
2021-05-22 21:00:00,9.5,0.0,9.7,77.0,1018.0,18.06547619047619,0.0244047619047619,12.192261904761907,47.18452380952381,1009.6303571428571
2021-05-22 22:00:00,9.3,0.0,10.1,73.0,1018.0,18.008928571428573,0.0244047619047619,12.224404761904761,47.45238095238095,1009.7083333333334
2021-05-22 23:00:00,9.2,0.0,10.8,71.0,1017.9,17.96309523809524,0.0244047619047619,12.241666666666665,47.69047619047619,1009.7785714285714
